dataset,encoder,patient_id,n_patches,featnorm_mean
ebrains,hoptimus,a1963046-357f-11eb-aff6-001a7dda7111,468.0,32.05679086538461
ebrains,hoptimus,a1963049-357f-11eb-85a4-001a7dda7111,312.0,33.6171875
ebrains,hoptimus,a1963054-357f-11eb-a849-001a7dda7111,4022.0,34.132583291894576
ebrains,hoptimus,a196305e-357f-11eb-9b1d-001a7dda7111,573.0,32.46065117801047
ebrains,hoptimus,a1963063-357f-11eb-9d67-001a7dda7111,2289.0,31.445104303189165
ebrains,hoptimus,a1963064-357f-11eb-bc18-001a7dda7111,309.0,31.99757281553398
ebrains,hoptimus,a196306a-357f-11eb-91a9-001a7dda7111,3316.0,32.33519300361882
ebrains,hoptimus,a196306c-357f-11eb-9ccf-001a7dda7111,1144.0,32.23660128933567
ebrains,hoptimus,a1963071-357f-11eb-a209-001a7dda7111,1305.0,31.658500957854407
ebrains,hoptimus,a196307b-357f-11eb-9a77-001a7dda7111,2356.0,34.567898450764005
ebrains,hoptimus,a196307c-357f-11eb-9002-001a7dda7111,687.0,30.838336972343523
ebrains,hoptimus,a196307f-357f-11eb-b607-001a7dda7111,347.0,32.75661923631124
ebrains,hoptimus,a1963081-357f-11eb-aaf3-001a7dda7111,607.0,34.488905477759474
ebrains,hoptimus,a196308a-357f-11eb-87bc-001a7dda7111,97.0,34.46262886597938
ebrains,hoptimus,a19656f6-357f-11eb-968c-001a7dda7111,4545.0,31.359330308030803
ebrains,hoptimus,a19656f7-357f-11eb-994c-001a7dda7111,4819.0,31.398393727951856
ebrains,hoptimus,a19656f8-357f-11eb-85f7-001a7dda7111,3617.0,32.93510678739287
ebrains,hoptimus,a19656fb-357f-11eb-885d-001a7dda7111,4971.0,32.13223886039027
ebrains,hoptimus,a1965704-357f-11eb-a679-001a7dda7111,5312.0,32.51190700301205
ebrains,hoptimus,a1965716-357f-11eb-be58-001a7dda7111,3127.0,32.66601874800128
ebrains,hoptimus,a196571a-357f-11eb-899b-001a7dda7111,151.0,31.789528145695364
ebrains,hoptimus,a1965720-357f-11eb-ab88-001a7dda7111,2422.0,33.91982994426094
ebrains,hoptimus,a1965728-357f-11eb-88dd-001a7dda7111,630.0,33.26024305555556
ebrains,hoptimus,a196572b-357f-11eb-a30c-001a7dda7111,2069.0,31.95960457950701
ebrains,hoptimus,a196572c-357f-11eb-b90a-001a7dda7111,1795.0,34.152498259052926
